date,start_time,open,high,low,close,volume,end_time,volume_usd,n_trades,taker_volume,taker_volume_usd
2020-07-08,1594080000000,241.66,243.9,234.44,239.45,1024076.026,1594166399999,244093092.67784,343892,493464.069,117654408.76251
2020-07-09,1594166400000,239.45,249.0,237.75,247.14,1430997.143,1594252799999,348773164.43888,444962,732759.309,178631718.02462
2020-07-10,1594252800000,247.1,247.94,238.04,242.01,1407925.425,1594339199999,342433597.13767,394925,669095.468,162784492.45134
2020-07-11,1594339200000,242.0,242.25,235.73,241.37,789372.278,1594425599999,188835488.4167,271580,384581.742,92018469.28306
2020-07-12,1594425600000,241.38,241.79,237.61,239.25,478752.331,1594511999999,114661329.881,212158,230319.713,55175888.8585
2020-07-13,1594512000000,239.25,244.35,236.0,242.82,899578.746,1594598399999,215562992.67344,310997,454324.886,108966750.81986
2020-07-14,1594598400000,242.82,245.56,237.3,239.6,1099518.478,1594684799999,266174695.26564,366373,522770.902,126606033.00168
2020-07-15,1594684800000,239.6,242.24,236.74,240.56,724653.885,1594771199999,173634906.59871,264606,356855.077,85560379.61008
2020-07-16,1594771200000,240.57,241.5,236.9,238.59,529634.834,1594857599999,126575225.98055,220091,242492.015,57987805.62434
2020-07-17,1594857600000,238.59,239.58,229.84,233.74,1047566.611,1594943999999,244658931.71368,333572,498974.012,116542332.55892
2020-07-18,1594944000000,233.75,235.05,231.81,232.72,557216.722,1595030399999,129976699.22534,222227,292917.632,68340832.40444
2020-07-19,1595030400000,232.72,236.95,232.35,235.69,466496.509,1595116799999,109492088.0996,205667,254198.094,59672274.13148
2020-07-20,1595116800000,235.69,239.93,233.28,239.19,573124.068,1595203199999,135124155.60153,207075,301422.349,71086755.40594
2020-07-21,1595203200000,239.18,239.81,234.0,236.03,693643.358,1595289599999,164752457.58157,241950,317990.05,75548689.01892
2020-07-22,1595289600000,236.02,246.87,235.52,245.56,1191285.53,1595375999999,288862206.41801,362155,640067.275,155124014.6478
2020-07-23,1595376000000,245.56,270.8,241.52,264.27,1647528.096,1595462399999,418091059.37613,427122,874784.361,222009400.22705
2020-07-24,1595462400000,264.3,280.48,259.86,275.56,2725687.424,1595548799999,736552038.77903,655074,1379831.154,372872796.6861
2020-07-25,1595548800000,275.5,287.76,268.32,279.45,2651233.303,1595635199999,736083875.03441,595521,1335782.166,371083613.84945
2020-07-26,1595635200000,279.45,309.39,279.28,305.64,3122852.128,1595721599999,915502216.03662,671258,1618020.268,474271947.30108
2020-07-27,1595721600000,305.58,321.99,299.18,311.41,3709687.999,1595807999999,1149779086.62864,765341,1781663.378,552500419.23014
2020-07-28,1595808000000,311.36,335.0,311.0,322.33,5017477.237,1595894399999,1620266858.22627,1010311,2418096.853,780939332.25971
2020-07-29,1595894400000,322.3,327.47,306.02,317.21,2856472.08,1595980799999,906295104.75718,648669,1336188.548,424048120.47081
2020-07-30,1595980800000,317.19,325.99,313.0,318.12,1890408.946,1596067199999,606896653.93406,410157,901832.824,289580341.07162
2020-07-31,1596067200000,318.12,343.38,314.06,335.3,2332715.926,1596153599999,763116559.16756,516637,1158783.558,379246402.10636
2020-08-01,1596153600000,335.31,349.83,329.0,346.42,2671758.151,1596239999999,912102990.69843,673762,1310144.582,447400099.88249
2020-08-02,1596240000000,346.42,394.8,343.4,387.24,4026011.453,1596326399999,1483605104.03266,826413,1994412.716,734869468.9659
2020-08-03,1596326400000,387.25,418.49,302.0,372.85,6320469.19,1596412799999,2395197027.14924,1334537,2972505.996,1128099335.54762
2020-08-04,1596412800000,372.86,398.59,366.66,386.2,3020910.903,1596499199999,1173622514.82561,717019,1435804.774,557944152.80214
2020-08-05,1596499200000,386.19,403.88,380.66,390.1,2702153.264,1596585599999,1057960148.06036,654517,1263035.268,494747898.34088
2020-08-06,1596585600000,390.02,407.88,384.31,400.95,2378190.463,1596671999999,942126678.78739,627789,1144175.487,453454722.76976
2020-08-07,1596672000000,400.94,404.25,390.6,395.09,1643305.55,1596758399999,652554125.73757,461636,754079.64,299515272.90246
